OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1184086,63,Woodside,16,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184087,64,Akerley,42,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184088,66,Penhorn,64,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184089,68,Cherry Brook,98,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184090,72,Portland Hills,72,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184091,78,Mount Edward Express,16,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184092,80,Sackville,174,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184093,81,Hemlock Ravine,43,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184094,87,Glendale,81,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184095,10,Dalhousie,318,7.50,7:30am to 7:59am,2017-10-26 10:00:00.0000000
1184096,14,Leiblin Park,172,7.50,7:30am to 7:59am,2017-10-26 10:00:00.0000000
1184097,17,Saint Mary's,84,7.50,7:30am to 7:59am,2017-10-26 10:00:00.0000000
1184098,18,Universities,107,7.50,7:30am to 7:59am,2017-10-26 10:00:00.0000000
1184099,194,West Bedford Express,23,7.50,7:30am to 7:59am,2017-10-26 10:00:00.0000000
1184100,2,Wedgewood,90,7.50,7:30am to 7:59am,2017-10-26 10:00:00.0000000
1184101,1,Spring Garden,86,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184102,14,Leiblin Park,32,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184103,18,Universities,19,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184104,2,Wedgewood,39,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184105,320,Airport - Fall River Regi,0,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184106,51,Windmill,3,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184107,52,Crosstown,12,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184108,55,Port Wallace,4,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184109,56,Dartmouth Crossing,3,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184110,57,Russell Lake,0,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184111,58,Woodlawn,4,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184112,59,Colby,25,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184113,6,Quinpool,0,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184114,60,Eastern Passage - Heritag,18,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184115,61,Auburn - North Preston,6,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184116,66,Penhorn,19,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
1184117,7,Robie,24,22.50,10:30pm to 10:59pm,2017-10-26 10:00:00.0000000
